# ----------------------------------------
# Pagina de destino: Pagina de destino
# Cuenta: CercaClickcr.com
# Propiedad: CercaClickcr.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Pagina de destino,Sesiones,Usuarios activos,Usuarios nuevos,Tiempo de interaccion medio por sesion,Eventos clave,Total de ingresos,Tasa de evento clave de sesion
/,32,25,22,28.5,0,0,0
/home,8,5,4,74.2,0,0,0
/shop,5,4,3,42.8,0,0,0
/search,4,3,2,18.5,0,0,0
/cart,3,3,2,20.5,0,0,0
/checkout,3,2,1,264.5,1,0,0.3333333333333333
/https/wwwcercaclickcrcom/shop,3,3,2,302.5,1,0,0.3333333333333333
/preguntas-frecuentes,2,1,1,15,0,0,0
/about,2,2,1,12,0,0,0
/contact,2,2,1,20,0,0,0
/https/wwwcercaclickcrcom/shop/p/tijeras-de-cocina-multifuncionales-de-acero-inoxidable,2,1,1,281.6666666666667,1,0,0.5
/https/wwwcercaclickcrcom/shop/p/sombrilla-plegable-compacta-de-bolso,2,2,1,35,0,0,0
/https/wwwcercaclickcrcom/shop/p/cable-usb-c-a-usb-c-alta-velocidad-120w-2m,1,1,1,25,0,0,0
/https/wwwcercaclickcrcom/shop/p/abridor-ajustable-antideslizante-para-frascos-y-botellas,1,1,1,16,0,0,0
/vendedores-usados,1,1,1,22,0,0,0
/services-store/p/servicio-de-venta-de-productos-usados-con-cercaclickcrcom,1,1,1,30,0,0,0
/categorias/hogar,5,4,3,37,0,0,0
/categorias/tecnologia,4,3,2,32,0,0,0
/categorias/accesorios,4,3,2,28,0,0,0
/ofertas,5,4,3,24,0,0,0
/como-comprar,3,2,2,41,0,0,0
/politicas-de-envio,2,2,1,33,0,0,0
/vender-en-cercaclick,3,2,1,58,0,0,0
/https/wwwcercaclickcrcom/shop/p/organizador-de-cocina-plegable-multifuncional,3,3,2,45,1,0,0.333
/https/wwwcercaclickcrcom/shop/p/set-de-ganchos-adhesivos-transparentes-para-pared,3,3,2,31,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/cepillo-limpiador-para-botellas-y-vasos,2,2,1,28,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/luz-led-recargable-para-closet-y-cocina,2,2,1,36,1,0,0.5
/https/wwwcercaclickcrcom/shop/p/bolsas-reutilizables-para-compras-y-almacenamiento,2,2,1,25,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/mini-selladora-portatil-para-bolsas,2,2,1,22,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/soporte-ajustable-para-celular-y-tablet,1,1,1,20,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/estuche-organizador-de-cables-y-cargadores,1,1,1,18,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/protector-de-silicon-para-control-remoto,1,1,1,16,0,0,0.0
/https/wwwcercaclickcrcom/shop/p/rodillo-quitapelusa-reutilizable,1,1,1,14,0,0,0.0
