# ----------------------------------------
# Paginas y pantallas: Ruta de pagina y clase de pantalla
# Cuenta: CercaClickcr.com
# Propiedad: CercaClickcr.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Ruta de pagina y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interaccion medio por usuario activo,Numero de eventos,Eventos clave,Total de ingresos
/,55,35,1.5714285714285714,35.07692307692308,160,0,0
/home,15,7,2.142857142857143,125.33333333333333,38,0,0
/shop,12,6,2,38,26,0,0
/search,10,4,2.5,12,20,0,0
/cart,8,5,1.6,20.5,18,0,0
/checkout,5,3,1.6666666666666667,264.5,12,1,0
/about,4,3,1.3333333333333333,16,8,0,0
/contact,4,3,1.3333333333333333,18,9,0,0
/preguntas-frecuentes,4,2,2,10,8,0,0
/vendedores-usados,3,2,1.5,24,6,0,0
/services-store/p/servicio-de-venta-de-productos-usados-con-cercaclickcrcom,3,2,1.5,30,6,0,0
/https/wwwcercaclickcrcom/shop,6,4,1.5,20,12,0,0
/https/wwwcercaclickcrcom/shop/librera,3,2,1.5,15,5,0,0
/https/wwwcercaclickcrcom/shop/p/afilador-de-cuchillos-profesional-4-etapas,5,3,1.6666666666666667,18,10,0,0
/https/wwwcercaclickcrcom/shop/p/sombrilla-plegable-compacta-de-bolso,5,3,1.6666666666666667,20,11,0,0
/https/wwwcercaclickcrcom/shop/p/tijeras-de-cocina-multifuncionales-de-acero-inoxidable,4,2,2,241,10,1,0
/https/wwwcercaclickcrcom/shop/p/abridor-ajustable-antideslizante-para-frascos-y-botellas,4,3,1.3333333333333333,22,8,0,0
/https/wwwcercaclickcrcom/shop/p/cable-usb-c-a-usb-c-alta-velocidad-120w-2m,4,2,2,20,7,0,0
/https/wwwcercaclickcrcom/shop/p/cable-usb-a-usb-c-con-carga-rpida-120w-2-metros-6mtfg,3,2,1.5,18,6,0,0
/https/wwwcercaclickcrcom/shop/p/bolso-organizador-impermeable-para-cables-y-accesorios,3,2,1.5,12,5,0,0
/https/wwwcercaclickcrcom/shop/p/set-de-raspador-de-limpieza-21-piezas,3,2,1.5,26,6,0,0
/https/wwwcercaclickcrcom/shop/p/set-de-bases-de-silicona-antiadherente-para-hornear-3-piezas,3,2,1.5,14,5,0,0
/https/wwwcercaclickcrcom/shop/p/recipientes-desechables-ultra-elsticos-para-conservacin-de-alimentos,3,2,1.5,20,6,0,0
/https/wwwcercaclickcrcom/shop/p/libro-infantil-isabella-y-el-jardn-de-los-secretos,2,1,2,8,3,0,0
/https/wwwcercaclickcrcom/shop/p/tijeras-de-corte-preciso-para-cabello-65-pulgadas,2,1,2,10,4,0,0
/pagina-nueva-2,2,1,2,5,4,0,0
/commerce/orders/2be187c9-fc4f-4276-b047-61e16a1c1c87,2,1,2,20,4,1,0
/commerce/orders/a943290b-589a-419c-9a00-2c176ab9cc0d,1,1,1,103,4,1,0
/categorias/hogar,6,4,1.5,37,13,0,0
/categorias/tecnologia,5,3,1.6666666666666667,32,11,0,0
/categorias/accesorios,5,3,1.6666666666666667,28,10,0,0
/ofertas,6,4,1.5,24,12,0,0
/como-comprar,4,3,1.3333333333333333,41,8,0,0
/politicas-de-envio,3,2,1.5,33,6,0,0
/vender-en-cercaclick,3,2,1.5,58,7,0,0
/https/wwwcercaclickcrcom/shop/p/organizador-de-cocina-plegable-multifuncional,6,4,1.5,45,13,1,0
/https/wwwcercaclickcrcom/shop/p/set-de-ganchos-adhesivos-transparentes-para-pared,5,3,1.667,31,10,0,0
/https/wwwcercaclickcrcom/shop/p/cepillo-limpiador-para-botellas-y-vasos,5,3,1.667,28,9,0,0
/https/wwwcercaclickcrcom/shop/p/luz-led-recargable-para-closet-y-cocina,4,2,2.0,36,8,1,0
/https/wwwcercaclickcrcom/shop/p/bolsas-reutilizables-para-compras-y-almacenamiento,4,2,2.0,25,7,0,0
/https/wwwcercaclickcrcom/shop/p/mini-selladora-portatil-para-bolsas,3,2,1.5,22,6,0,0
/https/wwwcercaclickcrcom/shop/p/soporte-ajustable-para-celular-y-tablet,3,2,1.5,20,5,0,0
/https/wwwcercaclickcrcom/shop/p/estuche-organizador-de-cables-y-cargadores,3,1,3.0,18,5,0,0
/https/wwwcercaclickcrcom/shop/p/protector-de-silicon-para-control-remoto,2,1,2.0,16,4,0,0
/https/wwwcercaclickcrcom/shop/p/rodillo-quitapelusa-reutilizable,2,1,2.0,14,3,0,0
/https/wwwcercaclickcrcom/shop/p/set-de-esponjas-limpiadoras-multiuso,2,1,2.0,12,3,0,0
/https/wwwcercaclickcrcom/shop/p/dispensador-de-jabon-recargable-para-cocina,1,1,1.0,10,2,0,0
