# ----------------------------------------
# Trafico de busqueda organica de Google: Pagina de destino y cadena de consulta
# Cuenta: CercaClickcr.com
# Propiedad: CercaClickcr.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Pagina de destino y cadena de consulta,Clics de la Busqueda de Google organica,Impresiones de la Busqueda de Google organica,Porcentaje de clics de la Busqueda de Google organica,Posicion media en la Busqueda de Google organica,Usuarios activos,Sesiones con interaccion,Porcentaje de interacciones,Tiempo de interaccion medio por usuario activo,Numero de eventos,Eventos clave,Ingresos publicitarios
/,6,90,0.06666666666666667,3.4,8,5,0.625,30,35,0,0
/home,4,60,0.06666666666666667,2.1,6,4,0.6666666666666666,90,28,0,0
/shop,3,48,0.0625,5.2,5,3,0.6,42,20,0,0
/search,2,30,0.06666666666666667,6.8,3,2,0.6666666666666666,18,12,0,0
/contact,1,12,0.08333333333333333,5.4,1,1,1,20,4,0,0
/https/wwwcercaclickcrcom/shop/p/adorable-rollo-de-500-pegatinas-animalitos-del-bosque-o-gatitos,1,20,0.05,4.1,1,1,1,14,3,0,0
/https/wwwcercaclickcrcom/shop/p/afilador-de-cuchillos-profesional-4-etapas,1,18,0.05555555555555555,8.7,1,1,1,18,4,0,0
/https/wwwcercaclickcrcom/shop/p/paquete-de-100-bandas-elsticas-multicolor-para-cabello,1,16,0.0625,6.3,1,1,1,12,3,0,0
/https/wwwcercaclickcrcom/shop/p/sombrilla-plegable-compacta-de-bolso,1,15,0.06666666666666667,7.2,1,1,1,20,4,0,0
/https/wwwcercaclickcrcom/shop/p/cable-usb-c-a-usb-c-alta-velocidad-120w-2m,1,14,0.07142857142857142,6.9,1,1,1,16,3,0,0
/https/wwwcercaclickcrcom/shop/p/organizador-de-cocina-plegable-multifuncional,3,42,0.071429,4.6,4,3,0.75,26,10,0,0
/https/wwwcercaclickcrcom/shop/p/set-de-ganchos-adhesivos-transparentes-para-pared,2,35,0.057143,5.1,3,2,0.667,21,8,0,0
/https/wwwcercaclickcrcom/shop/p/cepillo-limpiador-para-botellas-y-vasos,2,32,0.0625,5.8,3,2,0.667,19,7,0,0
/https/wwwcercaclickcrcom/shop/p/luz-led-recargable-para-closet-y-cocina,2,30,0.066667,6.2,3,2,0.667,24,9,0,0
/https/wwwcercaclickcrcom/shop/p/bolsas-reutilizables-para-compras-y-almacenamiento,1,24,0.041667,6.5,1,1,1.0,18,5,0,0
/https/wwwcercaclickcrcom/shop/p/mini-selladora-portatil-para-bolsas,1,22,0.045455,7.1,1,1,1.0,16,4,0,0
/https/wwwcercaclickcrcom/shop/p/soporte-ajustable-para-celular-y-tablet,1,20,0.05,7.4,1,1,1.0,14,4,0,0
/https/wwwcercaclickcrcom/shop/p/estuche-organizador-de-cables-y-cargadores,1,18,0.055556,7.8,1,1,1.0,13,3,0,0
/https/wwwcercaclickcrcom/shop/p/protector-de-silicon-para-control-remoto,1,16,0.0625,8.2,1,1,1.0,12,3,0,0
/https/wwwcercaclickcrcom/shop/p/rodillo-quitapelusa-reutilizable,1,15,0.066667,8.7,1,1,1.0,11,3,0,0
/https/wwwcercaclickcrcom/shop/p/set-de-esponjas-limpiadoras-multiuso,1,14,0.071429,9.1,1,1,1.0,10,2,0,0
/https/wwwcercaclickcrcom/shop/p/dispensador-de-jabon-recargable-para-cocina,1,12,0.083333,9.8,1,1,1.0,9,2,0,0
