# ----------------------------------------
# CercaClickcr.com
# Formato libre-Formato libre 1
# 20260430-20260527
# ----------------------------------------

,Segmento,Trafico en dispositivos moviles,Trafico en dispositivos moviles,Trafico en dispositivos moviles,Trafico directo,Trafico directo,Trafico directo,Trafico directo,Trafico directo,Trafico directo,Trafico de tablets,Trafico de tablets,Trafico de tablets
,Categoria de dispositivo,mobile,mobile,mobile,mobile,mobile,mobile,desktop,desktop,desktop,tablet,tablet,tablet
Ciudad,Pais,Usuarios activos,Numero de eventos,Transacciones,Usuarios activos,Numero de eventos,Transacciones,Usuarios activos,Numero de eventos,Transacciones,Usuarios activos,Numero de eventos,Transacciones
,,26,228,0,18,179,0,13,61,0,1,3,0,Total
Cartago,Costa Rica,10,115,0,8,95,0,3,22,0,1,3,0
San Jose,Costa Rica,9,62,0,7,40,0,2,12,0,0,0,0
Alajuela,Costa Rica,4,30,0,3,22,0,1,8,0,0,0,0
Heredia,Costa Rica,3,24,0,2,16,0,1,8,0,0,0,0
Desamparados,Costa Rica,3,18,0,2,12,0,1,6,0,0,0,0
Guadalupe,Costa Rica,1,11,0,1,8,0,0,0,0,0,0,0
Paraiso,Costa Rica,1,3,0,1,3,0,0,0,0,0,0,0
San Pablo,Costa Rica,1,3,0,1,3,0,0,0,0,0,0,0
Warsaw,Poland,0,0,0,0,0,0,3,12,0,0,0,0
Denver,United States,0,0,0,0,0,0,1,5,0,0,0,0
Strasbourg,France,0,0,0,0,0,0,1,4,0,0,0,0
Frankfurt am Main,Germany,0,0,0,0,0,0,1,4,0,0,0,0
Mexico City,Mexico,0,0,0,0,0,0,1,4,0,0,0,0
Escazu,Costa Rica,2,14,0,1,8,0,1,6,0,0,0,0
Curridabat,Costa Rica,2,12,0,1,7,0,1,5,0,0,0,0
Tres Rios,Costa Rica,2,10,0,1,6,0,1,4,0,0,0,0
Turrialba,Costa Rica,1,6,0,1,4,0,0,2,0,0,0,0
Puntarenas,Costa Rica,1,5,0,1,3,0,0,2,0,0,0,0
Liberia,Costa Rica,1,5,0,1,3,0,0,2,0,0,0,0
Limon,Costa Rica,1,4,0,1,3,0,0,1,0,0,0,0
Panama City,Panama,0,0,0,0,0,0,1,4,0,0,0,0
Managua,Nicaragua,0,0,0,0,0,0,1,4,0,0,0,0
Madrid,Spain,0,0,0,0,0,0,1,4,0,0,0,0
Moravia,Costa Rica,2,8,0,1,3,0,1,5,0,0,0,0
Santa Ana,Costa Rica,2,10,0,1,5,0,1,5,0,0,0,0
Aserri,Costa Rica,3,12,0,1,6,0,1,6,0,0,0,0
Oreamuno,Costa Rica,1,2,0,1,2,0,0,0,0,0,0,0
